latitude,longitude,state,zipcode
40.7372,-111.858,Utah,80401
44.8732,-123.075,Oregon,90703
32.1532,-110.914,Arizona,80507
29.9497,-90.1289,Louisiana,70001
38.0125,-84.5226,Kentucky,40005
41.6185,-93.7402,Iowa,50003
41.642,-72.8652,Connecticut,60408
24.6003,-81.6729,Florida,30300
30.1664,-97.7864,Texas,70807
44.5156,-73.2545,Vermont,50400
43.9495,-76.1126,New York,10306
42.0431,-91.6427,Iowa,50204
36.8701,-76.259,Virginia,20305
43.5851,-116.219,Idaho,80307
30.3186,-97.7261,Texas,70807
43.6538,-116.252,Idaho,80307
37.6896,-97.4221,Kansas,60702
39.1986,-96.6159,Kansas,60605
30.3163,-81.697,Florida,30202
40.7482,-74.0498,New Jersey,70300
33.2561,-117.319,California,90200
39.4665,-87.4075,Indiana,40708
42.8261,-106.39,Wyoming,80206
42.7719,-73.9147,New York,10203
41.3135,-72.9218,Connecticut,605
30.4565,-84.2412,Florida,30203
29.6767,-82.4414,Florida,0
39.6402,-84.0824,Ohio,40503
32.2151,-80.7464,South Carolina,20909
44.3258,-121.526,Oregon,90707
39.9374,-75.2288,Pennsylvania,10901
36.5617,-94.2246,Missouri,0
38.0531,-78.5057,Virginia,20209
39.8989,-105.059,Colorado,80000
39.9519,-75.0482,New Jersey,80100
39.6235,-86.1209,Indiana,40601
32.3798,-94.0296,Louisiana,0
33.791,-116.486,California,90202
42.3401,-83.0097,Michigan,40802
42.1756,-71.6032,Massachusetts,10506
33.8654,-118.073,California,90007
38.9137,-104.78,Colorado,80009
30.1865,-85.7113,Florida,30204
30.3222,-97.7202,Texas,70807
38.7214,-90.3718,Missouri,60300
45.5265,-122.689,Oregon,90702
43.9812,-75.608,New York,10306
41.4815,-81.8011,Ohio,40401
61.106,-149.85,Alaska,90905
45.0768,-93.0169,Minnesota,50501
26.3043,-81.7992,Florida,30401
41.0197,-80.6703,Ohio,40405
32.6204,-83.6462,Georgia,30100
39.0634,-94.5764,Missouri,60401
44.7454,-85.7204,Michigan,40906
45.3056,-122.752,Oregon,90700
31.6413,-84.2437,Georgia,0
36.1629,-115.081,Nevada,80901
39.0233,-76.6821,Maryland,20101
37.6388,-120.988,California,90503
35.1328,-113.703,Arizona,0
42.4404,-79.3292,New York,10400
47.7224,-117.41,Washington,90902
33.5815,-101.924,Texas,70904
39.8328,-86.0502,Indiana,40602
44.9927,-123.017,Oregon,90703
61.219,-149.788,Alaska,90905
41.256,-76.7141,Pennsylvania,10707
28.566,-81.1858,Florida,30208
38.3563,-77.5109,Virginia,20204
32.0702,-81.0489,Georgia,30104
38.0398,-84.5507,Kentucky,40005
35.9261,-84.0683,Tennessee,30709
42.1183,-70.6727,Massachusetts,20004
61.1812,-149.766,Alaska,90905
39.0731,-108.457,Colorado,80105
40.1779,-105.101,Colorado,80005
35.5999,-97.5561,Oklahoma,70301
47.3964,-120.296,Washington,90808
48.2313,-101.299,North Dakota,50807
36.2455,-86.7154,Tennessee,30701
41.7565,-72.7146,Connecticut,60100
28.9111,-81.9206,Florida,30201
40.125,-75.359,Pennsylvania,10904
32.7843,-79.8634,South Carolina,20904
36.32,-119.283,California,90302
39.4577,-80.1653,West Virginia,20605
45.6645,-122.6,Washington,90806
41.6884,-93.791,Iowa,50001
